name	pool_size	runtime_sec
pairs_168f27b	642	55.900000000000006
pairs_16a7ef5	627	54.08
pairs_172a4fb	665	57.93000000000001
pairs_17652c0	664	49.92
pairs_17a3712	659	59.51
pairs_1974847	647	48.160000000000004
pairs_1c9efb2	632	58.61
pairs_1e29017	641	55.620000000000005
pairs_1e67415	677	60.05
pairs_1f08d75	656	58.790000000000006
pairs_2120828	680	56.36
pairs_2223ba9	660	50.15
pairs_232c82d	683	57.19
pairs_24dfd05	646	48.989999999999995
pairs_2538f96	631	58.66
pairs_2542429	663	51.410000000000004
pairs_2713f27	656	58.269999999999996
pairs_279771d	655	59.64
pairs_29b75c7	649	50.69
pairs_2b61638	640	57.379999999999995
pairs_2bbc138	661	59.34
pairs_2d239ea	649	46.85
pairs_2d738d0	679	54.730000000000004
pairs_2e01b14	658	49.65
pairs_2ecd7c5	646	55.75
pairs_2fe5fee	635	58.55
pairs_2fe84f0	659	53.74
pairs_340ad46	653	48.7
pairs_34bf333	624	55.7
pairs_34f6399	680	60.489999999999995
pairs_353d214	678	56.269999999999996
pairs_35c3b95	682	57.269999999999996
pairs_3622684	665	55.83
pairs_373efb0	654	57.71
pairs_37ed8a8	658	47.050000000000004
pairs_3989aa4	646	59.15
pairs_3c4022b	670	47.43
pairs_3d118ad	642	54.39
pairs_3faf71b	668	53.769999999999996
pairs_410f5ab	656	46.42
pairs_425459a	658	59.12
pairs_445a794	635	55.64
pairs_449bb90	659	57.22
pairs_44bec2f	682	51.839999999999996
pairs_4580c82	668	55.62
pairs_45991c7	647	55.459999999999994
pairs_4896e0d	627	49.2
pairs_4904f5b	662	47.03
pairs_4919539	658	50.64
pairs_4963eb6	657	55.65
pairs_4a1970e	681	60.56999999999999
pairs_4d1fed2	679	49.72
pairs_4de38e6	667	52.59
pairs_4e03fa6	624	47.3
pairs_4e6494a	643	51.07
pairs_4ed6ee2	658	53.93
pairs_4efccfe	671	46.98
pairs_53276d1	624	55.31999999999999
pairs_55cfef0	679	47.08
